Who?	Sino?
Hello!	Kamusta!
I try.	Sinusubukan ko.
Smile.	Ngiti.
Smile.	Ngumiti ka.
Attack!	Sugod!
He ran.	Tumakbo siya.
Hug me.	Yakapin mo ako.
I fell.	Nahulog ako.
I know.	Alam ko.
Really?	Talaga?
We won.	Nanalo kami.
Why me?	Bakit ako?
Call me.	Tawagan mo ako.
Call us.	Tawagan mo kami.
Call us.	Tawagan niyo kami.
Get out!	Labas!
Get out!	Lumabas ka!
Get out.	Alis.
Go home.	Umuwi ka.
Help me!	Tulungan mo ako!
Help us.	Tulungan niyo kami.
Hug Tom.	Yakapin mo si Tom
I tried.	Sinubukan ko.
Me, too.	Ako rin.
Show me.	Ipakita sa akin.
Show me.	Ipakita mo sa akin.
Show me.	Ipakita niyo sa akin.
Take it.	Kuhanin mo.
Take it.	Kuhanin niyo.
Tom ran.	Tumakbo si Tom.
Wait up.	Intay.
Wake up!	Gising!
Wake up!	Gumising ka!
Wake up!	Gumising kayo!
We lost.	Natalo kami.
Who ate?	Sinong kumain?
Who ran?	Sinong tumakbo.
Why not?	Bakit hindi?
You run.	Tumatakbo ka.
You won.	Nanalo ka.
Ask them.	Tanungin mo sila.
Be brave.	Maging matapang ka.
Call Tom.	Tawagin mo si Tom.
Call Tom.	Tawagan mo si Tom.
Find Tom.	Hanapin si Tom.
Fix this.	Ayusin mo 'to.
Fix this.	Ayusin mo ito.
Good job!	Ang galing!
Grab him.	Hablutin siya.
Have fun.	Magpakasaya kayo.
Have fun.	Magsaya ka.
Have fun.	Magsaya kayo.
Help Tom.	Tulungan mo si Tom.
Help him.	Tulungan mo siya.
How deep?	Gaano kalalim?
I agreed.	Sumang-ayon ako.
I stayed.	Nanatili ako.
I waited.	Nagintay ako.
It helps.	Nakakatulong.
It hurts.	Ang sakit.
Kiss Tom.	Halikan mo si Tom.
Let's go!	Tara!
Save Tom.	Iligtas mo si Tom.
Sit down.	Umupo ka.
They won.	Nanalo sila.
Tom came.	Dumating si Tom.
Tom fell.	Nahulog si Tom.
Tom left.	Umalis si Tom.
Tom left.	Wala na si Tom.
Tom lied.	Nagsinungaling si Tom.
Tom lies.	Nagsisinungaling si Tom.
Tom lost.	Natalo si Tom.
Tom paid.	Nagbayad si Tom.
Tom swam.	Lumangoy si Tom.
Too late.	Huli ka na.
Use this.	Gamitin ito.
Use this.	Gamitin mo ito.
Use this.	Gamitin niyo ito.
Watch me.	Panoorin ako.
Watch me.	Panoorin mo ako.
Watch me.	Panoorin niyo ako.
What for?	Para saan?
Who fell?	Sinong nahulog?
Who swam?	Sinong lumangoy?
Birds fly.	Lumilipad ang mga ibon.
Bless you.	Pagpalain ka.
Calm down.	Huminahon ka.
Calm down.	Kumalma ka.
Catch Tom.	Hulihin si Tom.
Catch him.	Saluhin mo siya.
Come back.	Bumalik ka.
Come back.	Bumalik kayo.
Excuse me.	Mawalang-galang na.
Follow me.	Sundan mo ako.
Follow me.	Sundin mo ako.
Follow us.	Sundan kami.
Follow us.	Sundan mo kami.
Follow us.	Sundan niyo kami.
Go inside.	Pumasok ka.
Humor Tom.	Patawanin mo si Tom.
I am sure.	Sigurado ako.
I laughed.	Tumawa ako.
I like it.	Gusto ko.
I noticed.	Napansin ko.
Ignore it.	Wag mong pansinin.
Is it hot?	Mainit ba?
It burned.	Nasunog.
It failed.	Hindi nagtagumpay.
It worked.	Gumana.
It's cold.	Malamig.
It's cold.	Ang lamig.
Jump down.	Tumalon ka pababa.
Let's try!	Subukan natin!
She cried.	Umiyak siya.
She tried.	Sinubukan niya.
Start now.	Magumpisa ngayon.
Stay here.	Manatili ka dito.
Stop that.	Tigilan iyan.
They fell.	Nahulog sila.
They left.	Umalis sila.
They lied.	Nagsinungaling sila.
Tom cried.	Umiyak si Tom.
Tom drove.	Nagmaneho si Tom.
Tom knows.	Alam ni Tom.
Tom spoke.	Nagsalita si Tom.
Tom stood.	Tumayo si Tom.
Tom tried.	Sinubukan ni Tom.
Tom voted.	Bumoto si Tom.
Tom walks.	Lumalakad si Tom.
Tom waved.	Kumaway si Tom.
Trust Tom.	Pagkatiwalaan mo si Tom.
Try again.	Subukan mo ulit.
Wait here.	Magintay ka dito.
Watch Tom.	Subaybayan mo si Tom.
Watch Tom.	Panoorin mo si Tom.
We agreed.	Sumang-ayon tayo.
We forgot.	Nakalimutan namin.
We talked.	Nag-usap kami.
We waited.	Naghintay kami.
What's up?	Anong mayroon?
Who cares?	Sinong may pakialam?
Who is he?	Sino siya?
Who knows?	Sinong may alam?
Who stood?	Sinong tumayo?
Write Tom.	Isulat mo ang Tom.
You start.	Ikaw magsimula.
You tried.	Sinubukan mo.
You tried.	Sumubok ka.
Answer Tom.	Sagutin mo si Tom.
Ask around.	Magtanong-tanong.
Birds sing.	Kumakanta ang mga ibon.
Bring food.	Magdala ng pagkain.
Bring food.	Magdala ka ng pagkain.
Bring food.	Magdala kayo ng pagkain.
Bring help.	Magdala ng tulong.
Bring help.	Magdala kayo ng tulong.
Bring help.	Magdala ng ka ng tulong.
Bring wine.	Magdala ng alak.
Bring wine.	Magdala ka ng alak.
Bring wine.	Magdala kayo ng alak.
Carry this.	Buhatin ito.
Carry this.	Buhatin mo ito.
Carry this.	Buhatin niyo ito.
Eat slowly.	Kumain ng mahinahon.
Follow Tom.	Sundan si Tom.
Follow him.	Sundan siya.
Forget Tom.	Kalimutan si Tom.
Forgive us.	Patawarin mo kami.
Forgive us.	Patawarin niyo kami.
He coughed.	Umubo siya.
He's lying.	Nagsisinungaling siya.
He's smart.	Matalino siya.
I am sorry.	Paumanhin.
I got sick.	Nagkasakit ako.
I like you.	May gusto ako sa iyo.
I like you.	Gusto kita.
I love Tom.	Mahal ko si Tom.
I need you.	Kailangan kita.
I saw that.	Nakita ko yun.
I screamed.	Sumigaw ako.
I want you.	Ninanais kita.
I'm honest.	Matapat ako.
I'm sleepy.	Inaantok ako.
Ignore Tom.	Wag pansinin si Tom.
It happens.	Nangyayari.
It's early.	Maaga pa.
It's magic.	Mahiya siya.
It's windy.	Mahangin.
Scoot over.	Umusog ka.
She smiled.	Ngumiti siya.
Smell this.	Amuyin mo ito.
Stand back.	Atras.
Start here.	Magsimula dito.
Stay alert.	Manatiling alisto.
Stay awake.	Manatiling gising.
Step aside.	Umusog ka.
Step aside.	Tumabi ka.
That works.	Gumagana yoon.
They voted.	Bumoto sila.
This works.	Gumagana ito.
Tom agreed.	Sumangayon si Tom.
Tom agrees.	Sumasangayon si Tom.
Tom burped.	Dumighay si Tom.
Tom called.	Tumawag si Tom.
Tom cheats.	Nangdadaya si Tom.
Tom danced.	Nagsayaw si Tom.
Tom drinks.	Umiinom si Tom.
Tom drives.	Nagmamaneho si Tom.
Tom jumped.	Tumalon si Tom.
Tom looked.	Tumingin si Tom.
Tom obeyed.	Sumunod si Tom.
Tom prayed.	Nagdasal si Tom.
Tom sighed.	Huminga ng malalim si Tom.
Tom smiled.	Ngumiti si Tom.
Tom snores.	Humihilik si Tom.
Tom talked.	Nagsalita si Tom.
Tom waited.	Naghintay si Tom.
Tom walked.	Naglakad si Tom.
Tom winked.	Kumindat si Tom.
Tom worked.	Nagtrabaho si Tom.
Watch this.	Panoorin mo 'to.
Who is she?	Sino siya?
Who talked?	Sinong nagsalita?
Who yelled?	Sinong sumigaw?
Wood burns.	Nasusunog ang kahoy.
You called?	Tumawag ka?
Are you mad?	Galit ka ba?
Be yourself.	Isipin mo ang sarili mo.
Come closer.	Lapit.
Come closer.	Lumapit kayo.
Come closer.	Lumapit ka.
Come inside.	Pumasok ka.
Come inside.	Pasok.
Come inside.	Pumasok kayo.
Do it again!	Ulitin mo!
Don't shout.	Huwag sumigaw.
Finish this.	Tapusin ito.
Get serious.	Sumeryoso ka nga.
Get serious.	Sumeryoso ka.
He can swim.	Nakakalangoy siya.
He is lying.	Nagsisinungaling siya.
I am French.	Pranses ako.
I am Korean.	Ako ay Koreano.
I am taller.	Mas matangkad ako.
I feel cold.	Nilalamig ako.
I like dogs.	Gusto ko ng mga aso.
I loved Tom.	Minahal ko si Tom.
I'm too fat.	Masyado akong mataba.
It can't be!	Di maaari!
It happened.	Nangyari.
It saved me.	Ito ang nagligtas sa akin.
Let's drink.	Uminom tayo.
No one came.	Walang pumunta.
Nobody came.	Walang nagpunta.
Nobody came.	Walang pumunta.
Nobody came.	Walang dumating.
Nobody died.	Walang namatay.
OK. I agree.	Ayos. Sang-ayon ako.
Release Tom.	Pakawalan mo si Tom.
Release him.	Pakawalan mo siya.
Stay inside.	Manatili ka sa loob.
Take a rest.	Magpahinga ka.
That helped.	Nakatulong iyon.
That worked.	Gumana yoon.
That's life.	Ganyan ang buhay!
They burned.	Nasunog sila.
They called.	Tumawag sila.
They danced.	Nagsayaw sila.
They danced.	Nagsayawan sila.
They danced.	Sumayaw sila.
They hugged.	Nagyakapan sila.
Think again.	Isipin muli.
This is new.	Bago ito.
Tom blinked.	Kumurap si Tom.
Tom changed.	Nagbago si Tom.
Tom cheated.	Nangdaya si Tom.
Tom clapped.	Pumalakpak si Tom.
Tom coughed.	Umubo si Tom.
Tom drowned.	Nalunod si Tom.
Tom escaped.	Nakawala si Tom.
Tom fainted.	Nahimatay si Tom.
Tom fainted.	Nawalan ng malay si Tom.
Tom frowned.	Sumimangot si Tom.
Tom laughed.	Tumawa si Tom.
Tom listens.	Nakikinig si Tom.
Tom noticed.	Napansin ni Tom.
